Material,Color,Cantidad
Voluntad del emperador,Dorado,1
Voluntad del emperador,Morado,1
Voluntad del emperador,Azul,12
Guardia del emperador,Morado,3
Guardia del emperador,Azul,49
Alma del emperador,Morado,1
Alma del emperador,Azul,12
Aliento del emperador,Morado,1
Aliento del emperador,Azul,7
Quijada ácida,Dorado,4
Quijada ácida,Morado,1
Quijada ácida,Azul,9
Quijada ácida,Verde,703
Quijada ácida,Blanco,494
Oro talón,Dorado,3
Oro talón,Morado,6
Oro talón,Azul,12
Oro talón,Verde,754
Oro talón,Blanco,546
Hoja de jade,Dorado,5
Hoja de jade,Morado,6
Hoja de jade,Azul,22
Hoja de jade,Verde,611
Hoja de jade,Blanco,554
Ámbar hierba,Dorado,5
Ámbar hierba,Morado,6
Ámbar hierba,Azul,20
Ámbar hierba,Verde,683
Ámbar hierba,Blanco,483
Carbonizada gnarl,Morado,2
Carbonizada gnarl,Azul,2
Carbonizada gnarl,Verde,96
Acero reforzado,Morado,1
Acero reforzado,Azul,8
Acero reforzado,Verde,122
Extracto destilado,Morado,1
Extracto destilado,Azul,8
Extracto destilado,Verde,82
Razor diente de sierra,Morado,3
Razor diente de sierra,Azul,4
Razor diente de sierra,Verde,66
Piel de terciopelo,Dorado,1
Piel de terciopelo,Azul,7
Piel de terciopelo,Verde,78
Crystal mystic,Azul,6
Crystal mystic,Verde,78
Tempest stardust,Morado,1
Tempest stardust,Azul,4
Tempest stardust,Verde,55
Maxilar,Dorado,2
Maxilar,Morado,1
Maxilar,Azul,1
Maxilar,Verde,121
Maxilar,Blanco,49
Garra,Azul,1
Garra,Verde,118
Garra,Blanco,58
Hoja,Dorado,1
Hoja,Morado,1
Hoja,Azul,6
Hoja,Verde,13
Hoja,Blanco,73
Césped,Morado,2
Césped,Azul,15
Césped,Verde,21
Césped,Blanco,57
Nudo,Azul,6
Nudo,Verde,440
Nudo,Blanco,55
Acero,Morado,1
Acero,Azul,1
Acero,Verde,507
Acero,Blanco,25
Pluma,Morado,1
Pluma,Azul,1
Pluma,Verde,2
Pluma,Blanco,4
Extraer,Morado,1
Extraer,Blanco,6
Diente de sierra,Morado,1
Diente de sierra,Azul,9
Diente de sierra,Verde,211
Diente de sierra,Blanco,30
Pelaje,Morado,2
Pelaje,Azul,3
Pelaje,Verde,106
Pelaje,Blanco,52
Cristal,Azul,1
Cristal,Verde,20
Cristal,Blanco,26
Stardust,Morado,4
Stardust,Azul,6
Stardust,Verde,59
Stardust,Blanco,41